time,value
2096,142
2097,167
2098,176
2099,169
2100,171
2101,176
2102,178
2103,188
2104,179
2105,175
2106,174
2107,176
2108,179
2109,179
2110,171
2111,166
2112,169
2113,175
2114,177
2115,185
2116,183
2117,177
2118,181
2119,183
2120,195
2121,207
2122,223
2123,226
2124,215
2125,218
2126,219
2127,205
2128,219
2129,223
2130,232
2131,245
2132,243
2133,235
2134,239
2135,257
2136,254
2137,252
2138,252
2139,246
2140,230
2141,222
2142,215
2143,232
2144,180
2145,235
2146,221
2147,213
2148,193
2149,218
2150,219
2151,206
2152,165
2153,156
2154,133
2155,149
2156,174
2157,193
2158,190
2159,183
2160,174
2161,166
2162,160
2163,141
2164,192
2165,186
2166,201
2167,149
2168,225
2169,231
2170,214
2171,202
2172,223
2173,216
2174,230
2175,257
2176,295
2177,299
2178,291
2179,314
2180,307
2181,314
2182,306
2183,303
2184,303
2185,288
2186,263
2187,269
2188,267
2189,263
2190,274
2191,275
2192,281
2193,282
2194,262
2195,255
2196,237
2197,219
2198,222
2199,223
2200,247
2201,247
2202,289
2203,289
2204,275
2205,246
2206,248
2207,239
2208,236
2209,245
2210,245
2211,254
2212,269
2213,263
2214,273
2215,270
2216,273
2217,268
2218,276
2219,276
2220,268
2221,239
2222,240
2223,236
2224,260
2225,277
2226,276
2227,281
2228,277
2229,271
2230,289
2231,282
2232,282
2233,286
2234,265
2235,257
2236,249
2237,245
2238,263
2239,273
2240,277
2241,276
2242,268
2243,288
2244,324
2245,301
2246,299
2247,349
2248,340
2249,335
2250,376
2251,650
2252,612
2253,1132
2254,2386
2255,856
2256,496
2257,316
2258,294
2259,280
2260,272
2261,266
2262,270
2263,287
2264,286
2265,279
2266,272
2267,267
2268,262
2269,262
2270,270
2271,265
2272,258
2273,250
2274,260
2275,245
2276,253
2277,255
2278,256
2279,256
2280,252
2281,252
2282,258
2283,255
2284,252
2285,252
2286,243
2287,244
2288,243
2289,247
2290,248
2291,250
2292,257
2293,265
2294,262
2295,263
2296,275
2297,276
2298,272
2299,277
2300,279
2301,273
2302,291
2303,298
2304,291
2305,286
2306,296
2307,300
2308,299
2309,290
2310,290
2311,293
2312,291
2313,291
2314,295
2315,295
2316,299
2317,296
2318,288
2319,286
2320,284
2321,278
2322,287
2323,291
2324,285
2325,291
2326,302
2327,309
2328,301
2329,301
2330,298
2331,311
2332,313
2333,313
2334,323
2335,336
2336,331
2337,325
2338,324
2339,323
2340,315
2341,321
2342,336
2343,330
2344,340
2345,362
2346,375
2347,379
2348,376
2349,367
2350,368
2351,366
2352,356
2353,371
2354,370
2355,378
2356,380
2357,368
2358,370
2359,375
2360,382
2361,394
2362,402
2363,411
2364,409
2365,415
2366,410
2367,403
2368,394
2369,402
2370,406
2371,420
2372,427
2373,421
2374,424
2375,412
2376,407
2377,410
2378,395
2379,393
2380,392
2381,386
2382,383
2383,394
2384,393
2385,395
2386,403
2387,407
2388,435
2389,425
2390,433
2391,445
2392,465
2393,477
2394,471
2395,466
2396,497
2397,513
2398,521
2399,539
2400,566
2401,552
2402,532
2403,525
2404,496
2405,492
2406,494
2407,510
2408,553
2409,594
2410,573
2411,558
2412,561
2413,580
2414,637
2415,600
2416,571
2417,546
2418,546
2419,534
2420,556
2421,592
2422,544
2423,501
2424,481
2425,487
2426,494
2427,510
2428,572
2429,559
2430,591
2431,568
2432,549
2433,522
2434,533
2435,559
2436,573
2437,551
2438,553
2439,508
2440,456
2441,481
2442,497
2443,477
2444,511
2445,482
2446,495
2447,490
2448,483
2449,495
2450,493
2451,490
2452,452
2453,431
2454,408
2455,379
2456,366
2457,360
2458,379
2459,367
2460,365
2461,405
2462,371
2463,379
2464,367
2465,371
2466,391
2467,396
2468,395
2469,356
2470,345
2471,332
2472,340
2473,382
2474,382
2475,374
2476,373
2477,378
2478,394
2479,383
2480,416
2481,416
2482,462
2483,478
2484,437
2485,455
2486,489
2487,445
2488,411
2489,420
2490,424
2491,443
2492,443
2493,569
2494,556
2495,545
2496,670
2497,584
2498,534
2499,444
2500,430
2501,413
2502,403
2503,404
2504,405
2505,431
2506,439
2507,457
2508,461
2509,448
2510,459
2511,478
2512,463
2513,446
2514,436
2515,465
2516,463
2517,474
2518,493
2519,461
2520,455
2521,465
2522,479
2523,459
2524,446
2525,468
2526,480
2527,487
2528,477
2529,500
2530,526
2531,519
2532,551
2533,552
2534,532
2535,532
2536,546
2537,543
